,E,xmax,Nevent,size_1,size_2,dist_1,dist_2,zenith,azimuth,xc_1,yc_1,xc_2,yc_2,a_1,b_1,a_2,b_2,Xint,Yint,theta_int,Xground,Yground,nwidth,errorON,source_x,source_y
0,23.7948,367.467,131,780.7610000000001,114.12799999999999,3.00411,2.27421,56.49468864789874,0.511038,2.94021,0.6162989999999999,2.03445,-1.01639,-0.408039,1.8160189199999999,11.9928,-25.415244,2.195921011473498,0.9199975063993653,107.43088673258896,13.665250462461634,9.193260137063968,0.9449371274956497,2.484749751773029,-0.08681205533490777,-0.061384720174776655
1,23.7948,367.467,134,93.2373,747.551,2.10569,3.76059,56.49468864789874,0.511038,-1.7554,-1.16297,-2.7325,-2.5837,2.5240400000000003,3.26774142,-3.14299,-11.171901600000002,-2.548008925310083,-3.1635350278396626,140.73758833238205,-52.47552922733406,-223.4653225375533,1.884848090996133,4.229461187433584,0.1619107533928925,0.08372185620654161
2,27.0526,430.29900000000004,143,1057.84,213.27599999999998,3.0754,1.71915,50.18602225305178,0.122499,2.5779900000000002,1.67691,1.66003,-0.446975,0.216281,1.1193368399999999,-41.4435,68.3505324,1.6138153861154478,1.468374445524435,100.8217795577735,-5.1047332752354,-3.0328297183764925,2.0702964444869765,2.3354803160651816,-0.11324788098924529,-0.10379627616757739
3,27.0526,430.29900000000004,146,127.82700000000001,571.425,2.6289999999999996,3.4906099999999998,50.18602225305178,0.122499,2.39452,-1.08532,1.7265700000000002,-3.0337,0.940077,-3.33635076,-0.747985,-1.7422479,0.944339046788566,-2.4485993419121455,80.02680988912199,-158.41761839790186,-159.6846434088092,2.6505367594744564,2.6840738162909292,-0.0370620410498553,0.04962085576621682
4,8.65053,226.49099999999999,399,53.5524,78.0977,0.33691,1.58667,52.87227757974314,0.023793599999999998,0.114746,-0.316768,-0.43933999999999995,-1.52463,1.28459,-0.46416889800000005,0.193672,-1.4395419,-0.8940846168089629,-1.6127010559066257,41.13983367931009,-257.71037155601897,-363.46853386282817,1.2249839468393648,1.8043903015858234,-0.1423405485700831,0.027635865681325866
5,17.4304,279.845,836,255.74599999999998,100.785,3.4997,3.3687699999999996,54.29716632045398,0.7276729999999999,3.4258599999999997,-0.715122,2.69597,-2.01998,-0.270405,0.211246578,-8.18121,20.036363400000003,2.5060808377908446,-0.4664102109428333,67.90002932058347,-21.68110139658966,19.12424088340748,3.40062947502507,2.6353042823210133,-0.0672790311655496,0.10161060316893888
6,22.9221,334.74699999999996,1033,143.452,89.5127,0.629817,1.56164,52.343380239057886,0.228554,-0.383076,0.49992200000000003,-1.13795,-1.06948,-0.860339,0.170346294,0.317596,-0.70806672,0.7457228234155535,-0.4712281341745138,58.326334391864485,116.9607303979231,-83.18044766732967,0.08826627640385307,0.8656249945715138,-0.003096222327897206,-0.03697398283131578
7,8.8882,282.08299999999997,1086,142.44799999999998,75.6615,3.6198699999999997,2.34327,52.058391031759804,0.23308,2.9245,2.13325,2.27358,0.567228,0.8469450000000001,-0.343641258,3.20038,-6.7090865399999995,2.7047465861602293,1.9471303394154758,32.38514787632654,107.4021043972607,78.30070871026496,2.457086137587067,3.377904337725503,-0.08762207052178188,0.04636338894399035
8,2.18805,406.93699999999995,1397,92.9911,59.0463,2.55734,2.0602099999999997,56.51605997365712,0.850453,-0.96495,2.3683,-1.9996099999999999,0.496017,0.0885823,2.45377584,4.61456,9.72335088,-1.6061888771568624,2.3114959350270277,72.71057958567853,38.51709904846633,-5.150084605870044,1.2008852603538578,2.934363962931824,-0.010983212136281131,-0.15139073578005663
9,11.0716,402.403,1410,149.558,561.499,2.10173,1.6555400000000002,59.021604411764216,0.318461,-0.48707,2.04451,-1.6301700000000001,-0.288695,1.18052,2.61950436,-2.80488,-4.86112068,-1.8770073367792441,0.4036596587853669,120.11034372834159,-61.25562460438192,-121.97000245792637,1.6669284633211763,1.9176969000842499,-0.09983439560755197,-0.3169079908908441
10,11.0716,402.403,1415,75.8825,650.464,0.820743,1.55453,59.021604411764216,0.318461,0.7850699999999999,0.23934,-0.255312,-1.53342,20.9229,-16.186570200000002,-1.34466,-1.8767289600000001,0.6426317584863364,-2.7408501803662357,140.62612493035823,-53.183262436021515,-1905.4596877837057,2.4167235976667607,2.8593726978452856,0.013521278308774148,0.04845658456905673
11,15.9061,334.283,1452,461.23699999999997,92.1779,1.86999,1.63809,50.418356638977336,0.498275,-0.717804,1.7267299999999999,-1.62164,0.23153800000000002,0.180041,1.85596164,1.9675,3.4221214800000004,-0.8761934343668862,1.6982108978831516,52.85137733977367,113.8917316202706,26.562260412383452,1.3180776513487849,1.848859930159374,-0.02189232871518082,0.05856073329583975
12,59.6822,309.404,1594,191.296,260.793,0.6329279999999999,1.55659,56.14163205453914,0.81115,-0.306251,0.553902,-1.12676,-1.07395,0.12278599999999999,0.591505614,-0.884308,-2.07035226,-2.6431076682017767,0.2669689958521767,48.48666790766754,-176.4402964532886,-30.196062387577868,1.033518403686684,2.6291946809074282,-0.021411174358404776,0.06854479299051949
13,59.6822,309.404,1596,83.5712,199.55700000000002,1.68065,3.15139,56.14163205453914,0.81115,-1.66885,0.19886099999999998,-3.07517,-0.688901,-3.06866,-4.92225282,-0.97377,-3.6834134400000003,-0.5913624963601906,-3.1075623819193376,27.71187397327641,49.57053866475825,0.2772886102742973,-0.17483345339363132,2.96249550731922,-0.05328050459783408,-0.19434295986619984
14,59.6822,309.404,1598,2618.46,1141.52,1.31159,1.44882,56.14163205453914,0.81115,1.15854,0.6148680000000001,0.0896401,-1.44605,3.9420599999999997,-3.9521826,1.12848,-1.54720152,0.8547761499584159,-0.5826037302949274,27.31146572073134,-94.56509753932191,-573.8943598882565,-5.083829686797292,1.1950530145944944,-0.2111271667401075,-0.04223179621389453
